"filename", "language", "TypeScript", "YAML", "Markdown", "Shell Script", "MS SQL", "JSON", "JavaScript", "JSON with Comments", "XML", "TypeScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/providers/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 15, 118
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 5, 57
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 8, 76
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/confirm-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 1, 17, 178
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 14, 105
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 17, 185
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 12, 97
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 12, 157
"/Users/joseph/Desktop/mularpay/apps/mularpay-admin/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
